"CODIGO";"DESCRIPCION";"LATITUD";"LONGITUD";"DIRECION";"CP";"POBLACION";"PROVINCIA";"PAIS";"CERCANIAS";"FEVE";"COMUN"
"62103";"ELCHE/ELX-PARC";"38.2717809";"-0.6952193";"Avda. del Ferrocarril Este, 10";"03202";"ELCHE/ELX";"ALICANTE/ALACANT";"ESPAÑA";"SI";"NO";""
"62104";"TORRELLANO";"38.2896365";"-0.5824572";"C/ Casa Campo Torrellano Alto P3,82";"03320";"ELCHE/ELX";"ALICANTE/ALACANT";"ESPAÑA";"SI";"NO";""
"62109";"SANT GABRIEL";"38.3290647";"-0.5086866";"Avda. de Elche S/N";"03005";"ALICANTE/ALACANT";"ALICANTE/ALACANT";"ESPAÑA";"SI";"NO";""
"64007";"LENOVA-MANUEL";"39.0500727";"-0.4776036";"C/ Buenavista, S/N";"46660";"MANUEL";"VALENCIA/VALÈNCIA";"ESPAÑA";"SI";"NO";""
"64100";"XÀTIVA";"38.9921480";"-0.5245402";"Estación FF.CC. S/N";"46800";"XÀTIVA";"VALENCIA/VALÈNCIA";"ESPAÑA";"SI";"NO";""
"64102";"LA POBLA LLARGA";"39.0833385";"-0.4696592";"Barrio de la Estación, S/N";"46670";"POBLA LLARGA (LA)";"VALENCIA/VALÈNCIA";"ESPAÑA";"SI";"NO";""
"64103";"CARCAIXENT";"39.1205251";"-0.4544102";"Glorieta de la Estación, S/N";"46740";"CARCAIXENT";"VALENCIA/VALÈNCIA";"ESPAÑA";"SI";"NO";""
"64104";"ALZIRA";"39.1531495";"-0.4506011";"C/ Estación Ferrocarril, S/N";"46600";"ALZIRA";"VALENCIA/VALÈNCIA";"ESPAÑA";"SI";"NO";""
"64105";"ALGEMESÍ";"39.1931484";"-0.4409196";"C / Estación Ferrocarril, S/N";"46680";"ALGEMESÍ";"VALENCIA/VALÈNCIA";"ESPAÑA";"SI";"NO";""
"64107";"BENIFAIÓ";"39.2843027";"-0.4299537";"Pla. de la Estación, S/N";"46450";"BENIFAIÓ";"VALENCIA/VALÈNCIA";"ESPAÑA";"SI";"NO";""
"64200";"SILLA";"39.3619548";"-0.4149813";"Estación FF.CC. S/N";"46460";"SILLA";"VALENCIA/VALÈNCIA";"ESPAÑA";"SI";"NO";""
"64201";"CATARROJA";"39.4000447";"-0.3992195";"Ronda del Este S/N";"46470";"CATARROJA";"VALENCIA/VALÈNCIA";"ESPAÑA";"SI";"NO";""
"64202";"MASSANASSA";"39.4091934";"-0.3953073";"Garcia Lorca S/N";"46470";"MASSANASSA";"VALENCIA/VALÈNCIA";"ESPAÑA";"SI";"NO";""
"64203";"ALFAFAR-BENETÚSSER";"39.4224232";"-0.3926050";"C/ Estación Ferrocarril, S/N";"46910";"ALFAFAR";"VALENCIA/VALÈNCIA";"ESPAÑA";"SI";"NO";""
